Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Social and Management Sciences,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,B,null,null,E,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,O,null,D,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,A,null,null,null,null,null,null,null,null,null,null,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,B,null,B,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,O,null,D,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,D,E,null,null,null,null,null,null,D,null,null,null,null,null,null,null,F,null,null,null,null
Faculty of Education,null,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,null,B,C,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null
Faculty of Social and Management Sciences,D,null,null,D,F,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
